*******************************************************************************
 Revised: Aug 13, 2009   Ulysses Spacecraft (interplanetary) / (Sun)        -55
                             http://ulysses.jpl.nasa.gov/ 
            http://ulysses-ops.jpl.esa.int/ulsfct/rgpCafe/solsys/solsys.html

 MISSION ENDED: June 30, 2009. Last tracking data: 2009-Jun-29.
  The Ulysses Radioisotope Thermoelectric Generators (RTGs) have been steadily 
  losing power over the years and can no longer run all the communications, 
  scientific equipment, and heating simultaneously. Soon the spacecraft will 
  become so cold that its hydrazine fuel lines will freeze and it will become 
  impossible to maneuver. 

  A five year mission was planned, but for more than 17 years, the spacecraft 
  has studied the Sun, magnetic fields, the solar wind, x-rays and particles 
  from solar flares, and more. 
 
 BACKGROUND
   Launched : Oct 6, 1990                   Jupiter gravity assist: Feb 8, 1992
   Deployed from shuttle Discovery (STS-41) 160 nm above Earth

   Objective: Study the Sun from high solar latitudes.
   Ulysses is a joint mission between NASA and the European Space Agency (ESA).

   To reach high solar latitudes, the spacecraft was directed past Jupiter to 
   obtain a gravity-assist, accelerating Ulysses out of the ecliptic plane.

   With an orbital period of 6 years, observations have/will be obtained at 
   both the minimum and maximum of the 11 year solar cycle.

   See the web-page above for extensive information on the Ulysses Mission.

 SPACECRAFT TRAJECTORY:
  ... concatenated of trajectories provided Navigation Team (Mark Ryne/JPL). 

  File name              Span
  ---------------------  --------------------------------------------------
  pfile_ulysses_history  1990-Oct-6 (injection) to 2050-Jan-1. 
                         Trajectory after 2009-Jun-29 is predicted.
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue May  2 21:06:26 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Ulysses (spacecraft) (-55)      {source: ulysses}
Center body name: Earth (399)                     {source: ulysses}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1990-Oct-07 00:00:00.0000 TDB
Stop  time      : A.D. 1995-Mar-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
EOP file        : eop.230501.p230725
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-01. PREDICTS-> 2023-JUL-24
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2448171.500000000, A.D. 1990-Oct-07 00:00:00.0000, -7.776372711877926E+04,  1.964585976531035E+05,  2.543303397559084E+04,
2448172.500000000, A.D. 1990-Oct-08 00:00:00.0000, -4.767107879310100E+05,  1.086741825774210E+06,  1.489196324029890E+05,
2448173.500000000, A.D. 1990-Oct-09 00:00:00.0000, -8.743963877601841E+05,  1.973233514495429E+06,  2.719077598997134E+05,
2448174.500000000, A.D. 1990-Oct-10 00:00:00.0000, -1.271845215328224E+06,  2.858154473430359E+06,  3.947078695864882E+05,
2448175.500000000, A.D. 1990-Oct-11 00:00:00.0000, -1.669093009574166E+06,  3.741570032498410E+06,  5.173369955291969E+05,
2448176.500000000, A.D. 1990-Oct-12 00:00:00.0000, -2.066041124977159E+06,  4.623337781483248E+06,  6.397806956242584E+05,
2448177.500000000, A.D. 1990-Oct-13 00:00:00.0000, -2.462535083576137E+06,  5.503274171711755E+06,  7.620156231569180E+05,
2448178.500000000, A.D. 1990-Oct-14 00:00:00.0000, -2.858385732727354E+06,  6.381193993358608E+06,  8.840148044433109E+05,
2448179.500000000, A.D. 1990-Oct-15 00:00:00.0000, -3.253809836896655E+06,  7.257168864617280E+06,  1.005743997938807E+06,
2448180.500000000, A.D. 1990-Oct-16 00:00:00.0000, -3.647851858637984E+06,  8.130583335680440E+06,  1.127171555986517E+06,
2448181.500000000, A.D. 1990-Oct-17 00:00:00.0000, -4.042417538181765E+06,  9.000670073902454E+06,  1.248238502115071E+06,
2448182.500000000, A.D. 1990-Oct-18 00:00:00.0000, -4.439307760818307E+06,  9.866380245590419E+06,  1.368872291925770E+06,
2448183.500000000, A.D. 1990-Oct-19 00:00:00.0000, -4.834517431951811E+06,  1.072971269508480E+07,  1.489165661870153E+06,
2448184.500000000, A.D. 1990-Oct-20 00:00:00.0000, -5.229602756997762E+06,  1.159033612749079E+07,  1.609201254469391E+06,
2448185.500000000, A.D. 1990-Oct-21 00:00:00.0000, -5.620574776734518E+06,  1.244922476457687E+07,  1.728806480050559E+06,
2448186.500000000, A.D. 1990-Oct-22 00:00:00.0000, -6.008682614845747E+06,  1.330521365056117E+07,  1.847923789166271E+06,
2448187.500000000, A.D. 1990-Oct-23 00:00:00.0000, -6.393579428625460E+06,  1.415828406132905E+07,  1.966520562684508E+06,
2448188.500000000, A.D. 1990-Oct-24 00:00:00.0000, -6.774905635005835E+06,  1.500844057015197E+07,  2.084564535927836E+06,
2448189.500000000, A.D. 1990-Oct-25 00:00:00.0000, -7.152288017979978E+06,  1.585570646406586E+07,  2.202023195868540E+06,
